#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
1,asd,asdasd,active,2019-03-07,"Heba Hussain",Ounass,Display,"Itcan - DXB Office","2019-03-27 15:30:58"
2,test111,das,active,2019-03-14,"Heba Hussain",Ounass,Influencers,"Itcan - DXB Office","2019-03-27 14:33:36"
3,CodeTest,desc,active,2019-03-28,"Heba Hussain",Wadi,N/A,"Itcan - DXB Office","2019-03-27 12:01:45"
4,TEST221,DESC,Active,2019-03-26,"Abdulrahman AlQasem",Wadi,N/A,"Itcan - DXB Office","2019-03-27 11:03:55"
5,TESTWWW,DESC,Active,2019-03-26,"Abdulrahman AlQasem",Wadi,N/A,"Itcan - DXB Office","2019-03-27 11:03:55"
6,TEST221,DESC,Active,2019-03-26,"Abdulrahman AlQasem",Wadi,N/A,"Itcan - DXB Office","2019-03-27 11:01:08"
7,test1,description,Active,2019-03-25,"Murad Salem",Wadi,N/A,"Itcan - DXB Office","2019-03-27 10:59:47"
8,asdas,asdas,active,2019-03-29,"Nora AlAli",Wojooh,N/A,"Itcan - DMM Office","2019-03-26 16:21:01"
9,asdas,asdas,active,2019-03-29,"Nora AlAli",Wojooh,SEM,N/A,"2019-03-26 16:19:04"
10,adsa,asda,active,2019-03-27,"Heba Hussain",Wojooh,Snapchat,N/A,"2019-03-26 16:10:52"
11,Cute10,"Discount 10%",active,2019-03-22,"Arwa Dhlaa",MumzWorld,Influencers,N/A,"2019-03-13 14:24:43"
12,Cokdde,desca,active,2019-03-30,"Heba Hussain",Ounass,Miners,"Itcan - DXB Office","2019-03-11 17:17:29"
13,deepak,N/A,active,N/A,N/A,Ounass,N/A,N/A,"2019-03-04 14:46:51"
14,3493,N/A,active,N/A,N/A,Ounass,N/A,N/A,"2019-03-04 14:33:58"
15,Laky1,"Discount 10%",N/A,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
16,Laky2,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
17,Laky3,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
18,Laky4,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
19,Laky5,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-03-01 11:28:40"
20,Laky6,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
21,Laky7,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-03-01 11:28:40"
22,Laky8,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
23,Laky10,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
24,Laky12,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
25,Laky18,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
26,Laky20,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
27,Laky22,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-03-01 11:28:40"
28,Laky26,"Discount 10%",Active,N/A,N/A,MumzWorld,N/A,N/A,"2019-03-01 11:28:40"
29,mama15,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
30,mama25,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
31,mama45,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
32,mama30,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
33,mama55,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
34,mama60,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
35,mama90,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
36,mama85,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
37,mama65,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
38,mama80,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
39,mama70,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
40,Love4,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
41,Love5,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
42,Love6,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
43,Love7,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
44,Love8,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
45,Love9,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
46,Love10,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
47,Love13,"Disscount 10% off",Active,2018-08-07,N/A,MumzWorld,Influencers,N/A,"2019-03-01 11:28:40"
