#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
1860,KSA94,"20% discount (Activates on the 21st of September)",active,2018-09-24,N/A,Elabelz,Miners,N/A,"2018-09-20 17:35:31"
1861,KSA95,"20% discount (Activates on the 21st of September)",active,2018-09-24,N/A,Elabelz,Miners,N/A,"2018-09-20 17:35:03"
1862,KSA65,"20% discount (Activates on the 21st of September)",active,2018-09-24,"Abdulrahman AlSadhan",Elabelz,Influencers,N/A,"2018-09-20 16:27:54"
1863,KSA22,"20% discount (Activates on the 21st of September)",active,2018-09-24,"Dr. Hind",Elabelz,Influencers,N/A,"2018-09-20 16:27:30"
1864,KSA36,"20% discount (Activates on the 21st of September)",active,2018-09-24,"Abdullah AlSubaii",Elabelz,Influencers,N/A,"2018-09-20 16:26:15"
1865,KSA64,"20% discount (Activates on the 21st of September)",active,2018-09-24,"Amna AlGhammas",Elabelz,Influencers,N/A,"2018-09-20 16:25:42"
1866,KSA60,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1867,KSA75,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1868,KSA44,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1869,KSA70,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1870,KSA32,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1871,KSA79,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1872,KSA86,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1873,KSA41,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1874,KSA47,"20% discount (Activates on the 21st of September)",Active,2018-09-24,N/A,Elabelz,N/A,N/A,"2018-09-19 23:41:29"
1875,START37,N/A,Active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-19 18:52:25"
1876,START63,N/A,Active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-19 18:52:25"
1877,almon,N/A,active,N/A,N/A,L'Occitane,N/A,N/A,"2018-09-19 15:43:56"
1878,START75,N/A,Active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-18 21:06:30"
1879,Back14,"12% on Gross Order, Any Customer, Multiple Usage",active,N/A,N/A,Sivvi,Miners,N/A,"2018-09-18 19:33:27"
1880,denim,N/A,active,N/A,N/A,L'Occitane,Influencers,N/A,"2018-09-18 14:59:49"
1881,start28,N/A,active,N/A,N/A,Elabelz,N/A,N/A,"2018-09-10 15:29:45"
1882,strat72,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-10 15:28:58"
1883,start60,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-09 15:45:36"
1884,start14,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-09 15:44:48"
1885,start62,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-08 22:37:58"
1886,start27,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-08 18:53:42"
1887,start24,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-07 17:33:22"
1888,start91,N/A,active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-07 17:30:15"
1889,jmal,N/A,active,N/A,N/A,L'Occitane,Influencers,N/A,"2018-09-07 17:24:05"
1890,Back1,"12% on Gross Order, Any Customer, Multiple Usage",active,N/A,"Mishael AlAjmi",Sivvi,Influencers,N/A,"2018-09-06 18:53:59"
1891,mdrsa99,"15% Discount",active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-06 18:45:55"
1892,mdrsa20,"15% Discount",active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-06 18:45:41"
1893,Mdrsa29,"15% Discount",active,N/A,N/A,Elabelz,Influencers,N/A,"2018-09-06 18:45:16"
1894,Back15,"12% on Gross Order, Any Customer, Multiple Usage",N/A,N/A,N/A,Sivvi,SEM,N/A,"2018-09-05 22:08:32"
1895,MORE83,"25% discount with a purchase over 500 SAR / DHS",active,N/A,"Swalif Hanan",Elabelz,Influencers,N/A,"2018-09-05 22:07:21"
1896,Back2,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Miners,N/A,"2018-09-05 22:07:20"
1897,Back3,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Influencers,N/A,"2018-09-05 22:07:20"
1898,Back4,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Miners,N/A,"2018-09-05 22:07:20"
1899,Back5,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,N/A,N/A,"2018-09-05 22:07:20"
1900,Back6,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Influencers,N/A,"2018-09-05 22:07:20"
1901,Back8,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Influencers,N/A,"2018-09-05 22:07:20"
1902,Back9,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Influencers,N/A,"2018-09-05 22:07:20"
1903,Back10,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,Influencers,N/A,"2018-09-05 22:07:20"
1904,Back11,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,N/A,N/A,"2018-09-05 22:07:20"
1905,Back12,"12% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sivvi,N/A,N/A,"2018-09-05 22:07:20"
1906,MORE99,"25% discount with a purchase over 500 SAR / DHS",N/A,N/A,N/A,Elabelz,SEM,N/A,"2018-09-05 21:34:51"
1907,MORE15,"25% discount with a purchase over 500 SAR / DHS",N/A,N/A,N/A,Elabelz,SEM,N/A,"2018-09-05 21:33:26"
1908,Mdrsa28,"15% Discount",N/A,N/A,N/A,Elabelz,SEM,N/A,"2018-09-05 21:31:54"
1909,Mdrsa13,"15% Discount",N/A,N/A,N/A,Elabelz,SEM,N/A,"2018-09-05 21:31:40"
1910,Mdrsa92,"15% Discount",N/A,N/A,N/A,Elabelz,SEM,N/A,"2018-09-05 21:31:06"
1911,Mdrsa94,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:26:55"
1912,Mdrsa61,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:24:16"
1913,Mdrsa53,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:23:46"
1914,Mdrsa47,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:23:17"
1915,Mdrsa74,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:22:31"
1916,Mdrsa19,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:22:22"
1917,Mdrsa59,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:22:13"
1918,Mdrsa76,"15% Discount",N/A,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:22:02"
1919,Mdrsa96,"15% Discount",active,N/A,"Amna AlGhammas",Elabelz,Influencers,N/A,"2018-09-05 21:11:54"
1920,MORE96,"25% discount with a purchase over 500 SAR / DHS",active,N/A,"Amna AlGhammas",Elabelz,Influencers,N/A,"2018-09-05 21:10:58"
1921,Mdrsa32,"15% Discount",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:06:40"
1922,MORE84,"25% discount with a purchase over 500 SAR / DHS",active,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 21:05:07"
1923,MORE72,"25% discount with a purchase over 500 SAR / DHS",active,N/A,"Alia AlHazza",Elabelz,Influencers,N/A,"2018-09-05 20:52:14"
1924,Mdrsa23,"15% Discount",active,N/A,"Alia AlHazza",Elabelz,Influencers,N/A,"2018-09-05 20:50:40"
1925,Mdrsa50,"15% Discount (Mahmoud)",Active,N/A,N/A,Elabelz,Digital,N/A,"2018-09-05 19:08:38"
1926,Mdrsa97,"15% Discount",active,N/A,"Abdulrahman AlSadhan",Elabelz,Influencers,N/A,"2018-09-05 19:08:34"
1927,MORE47,"25% discount with a purchase over 500 SAR / DHS",N/A,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 18:56:25"
1928,MORE97,"25% discount with a purchase over 500 SAR / DHS",active,N/A,"Abdulrahman AlSadhan",Elabelz,Influencers,N/A,"2018-09-05 18:56:04"
1929,MORE62,"25% discount with a purchase over 500 SAR / DHS",N/A,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 18:54:58"
1930,MORE64,"25% discount with a purchase over 500 SAR / DHS",N/A,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 18:54:50"
1931,MORE67,"25% discount with a purchase over 500 SAR / DHS",N/A,N/A,N/A,Elabelz,Miners,N/A,"2018-09-05 18:54:38"
1932,MORE40,"25% discount with a purchase over 500 SAR / DHS (Mahmoud)",active,N/A,N/A,Elabelz,Digital,N/A,"2018-09-05 18:24:01"
1933,MORE91,"25% discount with a purchase over 500 SAR / DHS",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-09-05 15:36:05"
1934,MORE90,"25% discount with a purchase over 500 SAR / DHS",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-09-05 15:36:05"
1935,MORE57,"25% discount with a purchase over 500 SAR / DHS",Active,N/A,N/A,Elabelz,N/A,N/A,"2018-09-05 15:36:05"
1936,back3,N/A,N/A,N/A,Latika,Sprii,Influencers,N/A,"2018-09-04 21:30:19"
1937,back2,N/A,N/A,N/A,"Tabinda Nabil",Sprii,Influencers,N/A,"2018-09-03 23:31:23"
1938,back1,N/A,N/A,N/A,"Virdah Javed Khan",Sprii,Influencers,N/A,"2018-09-03 23:28:25"
1939,back4,N/A,Active,N/A,N/A,Sprii,SEM,N/A,"2018-09-03 23:28:15"
1940,back20,N/A,active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-09-03 16:30:18"
1941,back15,N/A,active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-31 20:00:37"
1942,back3,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2018-08-30 15:25:28"
1943,back1,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2018-08-29 17:28:16"
1944,back2,N/A,active,N/A,N/A,MumzWorld,Influencers,N/A,"2018-08-29 16:15:24"
1945,back10,N/A,active,N/A,N/A,"Arabian Oud",Influencers,N/A,"2018-08-29 16:11:58"
