#,Code,Description,"Ad status","Expires on",Reserved,Client,Channel,Office,"Updated at"
2025,eid13,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2026,eid14,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2027,eid15,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2028,eid16,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2029,eid17,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2030,eid18,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2031,eid19,"5% on Gross Order, Any Customer, Multiple Usage",Active,N/A,N/A,Sprii,Influencers,N/A,"2018-08-13 16:56:55"
2032,Eid10,"Discount 10% (Nu'man)",N/A,N/A,N/A,MumzWorld,SEM,N/A,"2018-08-12 23:43:03"
2033,Eid1,"Discount 10% (Nu'man)",N/A,N/A,N/A,MumzWorld,SEM,N/A,"2018-08-12 23:42:47"
2034,Eid2,"Discount 10%",Active,N/A,N/A,MumzWorld,Influencers,N/A,"2018-08-12 23:41:55"
